Date,Confirmed,Recovered,Death
1/22/2020,555,28,17
1/23/2020,654,30,18
1/24/2020,941,36,26
1/25/2020,1434,39,42
1/26/2020,2118,52,56
1/27/2020,2927,61,82
1/28/2020,5578,107,131
1/29/2020,6167,126,133
1/30/2020,8235,143,171
1/31/2020,9927,222,213
2/1/2020,12038,284,259
2/2/2020,16787,472,362
2/3/2020,19887,623,426
2/4/2020,23898,852,492
2/5/2020,27643,1124,564
2/6/2020,30803,1487,634
2/7/2020,34396,2011,719
2/8/2020,37130,2616,806
2/9/2020,40160,3244,906
2/10/2020,42769,3946,1013
2/11/2020,44811,4683,1113
2/12/2020,45229,5150,1118
2/13/2020,60382,6295,1371
2/14/2020,66909,8058,1523
2/15/2020,69051,9395,1666
2/16/2020,71235,10865,1770
2/17/2020,73270,12583,1868
2/18/2020,75152,14352,2008
2/19/2020,75652,16121,2123
2/20/2020,76212,18177,2248
2/21/2020,76841,18890,2252
2/22/2020,78602,22886,2459
2/23/2020,78982,23394,2470
2/24/2020,79546,25227,2630
2/25/2020,80399,27905,2710
2/26/2020,81376,30384,2771
2/27/2020,82736,33276,2814
2/28/2020,84123,36710,2873
2/29/2020,86013,39781,2942
3/1/2020,88394,42715,2996
3/2/2020,90377,45601,3085
3/3/2020,92971,48227,3160
3/4/2020,95279,51169,3255
3/5/2020,98090,53795,3349
3/6/2020,102003,55863,3460
3/7/2020,106098,58357,3564
3/8/2020,110047,60692,3803
3/9/2020,114219,62491,3993
3/10/2020,119041,64400,4267
3/11/2020,126702,66998,4611
3/12/2020,132492,68320,4917
3/13/2020,146879,70248,5414
3/14/2020,157952,72619,5834
3/15/2020,169222,76029,6475
3/16/2020,184032,78083,7153
3/17/2020,199976,80830,7965
3/18/2020,219535,83316,8868
3/19/2020,246584,84958,9980
3/20/2020,277361,87402,11461
3/21/2020,309363,91648,13183
3/22/2020,344194,97867,14857
3/23/2020,387045,98336,16798
3/24/2020,428205,107970,19083
3/25/2020,479223,113754,21882
3/26/2020,542053,122126,24902
3/27/2020,607114,130911,28396
3/28/2020,674360,139419,32112
3/29/2020,733612,148864,35588
3/30/2020,798890,164323,39640
3/31/2020,875739,177811,44389
4/1/2020,952172,193172,50344
4/2/2020,1033388,210226,56197
4/3/2020,1116618,225679,62319
4/4/2020,1175629,246122,68490
